0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55
31 0.54288 -0.04826 0.62637 1.34038 -0.09099 0.00559 0.21879 -0.12504 -0.06792 -0.03594 0.52746 -0.03568 -0.48606 0.52902 0.58355 0.05229 0.5533 0.62574 0.53759 0.35509 1.12898 -0.0881 -0.11794 0.22756 -0.06006 -0.19043 0.01615 -0.03791 0.49343 0.43441 0.05514 0.46234 0.77777 0.52926 1.20778 1.04563 -0.73515 1.09527 1.3022 1.33893 -0.10381 0.29619 -0.06075 -0.17623 -0.06572 0.31604 -0.16307 0.03937 -0.05765 0.29956 0.26011 0.21039 -0.19537 -0.05749 -0.14476
32 -1.37361 -0.0129 0.01592 -0.25799 -0.0012 -0.03259 -1.36797 0.00633 0.79205 0.00031 -1.29238 -1.09859 0.60286 -1.31166 -1.27376 0.07972 -1.26588 -0.35635 -1.37697 -0.00495 -0.30217 -0.00452 -0.06168 -1.30299 -0.00188 0.71186 -0.02313 -0.37201 0.01173 -0.07043 -1.07924 0.05783 0.43814 0.01755 -0.25836 -0.26504 0.72485 -0.20904 -0.81145 -0.2599 -0.03611 -1.32552 -0.00236 0.75782 -0.0047 -1.21027 0.00427 0.65524 -0.03357 -1.31074 -0.17397 -1.34717 0.77859 0.00535 0.81125
33 0.26902 -0.03098 -1.19997 0.17035 -0.02305 -0.5193 0.31575 -0.04154 -0.18958 -0.15565 0.21271 1.10069 -0.18241 0.22877 0.81355 -0.02978 0.24278 0.41089 0.43368 -1.21322 0.10305 -0.00328 -0.60835 0.27303 -0.02446 -0.31639 -0.2479 1.05751 -1.21162 -0.64205 1.02926 -1.22976 -0.93385 -1.00442 0.11849 0.81295 -0.27876 0.13153 0.40889 0.43126 -0.60849 0.30778 -0.0169 -0.22331 -0.20003 0.81767 -0.56648 -0.22971 -0.45869 0.33101 0.46223 0.48104 -0.17815 -0.17669 -0.17106
34 0.08818 0.00325 0.8184 0.38571 -0.00369 0.97865 -0.11754 0.00206 -0.05449 0.03849 0.12493 -0.92619 -0.54074 0.12181 -0.98114 0.13106 0.12708 0.06265 0.03693 0.82986 0.36394 0.00095 1.04564 -0.08717 0.00574 -0.07023 0.03486 -0.46152 0.87049 -0.2785 -0.63506 0.83922 0.80394 0.78416 0.36757 -0.56169 -0.02018 0.3745 0.64421 0.35765 1.02283 -0.15275 -0.00121 -0.10421 0.02956 -0.83017 1.02246 0.76419 1.0244 -0.13779 -0.06283 -0.16153 -0.09008 0.0328 0.01851
35 -0.28405 0.08473 -0.81737 -0.16269 0.04635 0.00322 0.6094 0.08386 -0.37536 0.07891 -0.27837 0.30161 0.31507 -0.23117 -0.32157 -0.32722 -0.18022 0.13818 -0.28424 -0.82816 -0.27946 0.03933 0.13349 0.42098 0.04882 -0.42171 0.01757 0.23615 -0.78239 -0.30797 -0.21823 -0.75201 -0.4211 -0.89075 -0.19859 -0.20737 -0.37925 -0.28485 -0.00432 -0.26474 0.11335 0.57264 0.03661 -0.36869 0.05595 0.2896 0.12529 -0.13259 0.08493 0.60668 0.48856 0.47515 -0.36782 0.09828 -0.30724
36 -0.27658 0.01601 1.37294 0.30864 0.01129 0.00404 -0.57479 0.37509 -1.38555 0.03609 -0.28219 0.02824 0.35451 -0.27978 -0.24911 -0.11207 -0.39627 -0.08432 -0.30128 1.33682 0.31061 0.01686 0.01108 -0.56899 0.33837 -1.38799 0.06515 -0.88078 1.35641 1.28078 -1.13555 0.96507 -0.1707 1.34595 0.30469 0.36308 0.30715 -0.11621 1.19881 0.31812 0.0148 -0.54883 0.32896 -1.41387 0.03202 -0.57062 0.30858 -1.34179 0.05243 -0.85872 0.93825 -0.57824 -1.28072 0.35644 -1.26549
37 0.33682 0.03665 0.75888 -0.15341 0.02956 0.11408 -0.13682 0.00675 0.41415 0.02523 0.39057 -0.59011 -0.11631 0.39271 -0.00972 -0.34305 0.38335 -0.35909 0.40617 0.76817 -0.08921 0.01808 0.17362 -0.08916 -0.01049 0.40699 0.05504 -0.93196 0.84049 0.48133 -1.18242 0.67311 -0.02036 0.76899 -0.09479 -0.3554 0.23741 -0.07333 -0.62495 -0.17029 0.14375 -0.09532 -0.01527 0.36561 0.05878 -0.45588 0.12019 0.19889 0.15681 0.02241 -0.52164 -0.04551 0.3805 0.03876 0.44815
38 -0.33268 0.02018 -0.04116 -0.18741 0.01967 -0.06595 0.34324 0.08577 0.20625 0.04567 -0.31929 -0.56808 -0.27675 -0.25171 -0.52423 -0.01779 -0.1673 -0.66942 -0.39483 -0.04695 -0.26914 0.01175 -0.08409 0.23577 0.04786 0.18686 0.04073 -0.24662 0.00129 -0.05436 0.19333 0.18278 0.12939 -0.01089 -0.15393 -0.08625 0.07802 -0.02657 -0.27157 -0.17582 -0.02777 0.28714 0.02831 0.22861 0.05502 0.33546 0.09774 0.00862 -0.01528 0.29257 0.10017 0.2893 0.33946 0.11409 0.25044
39 0.27854 -0.01284 -0.55299 -0.14594 -0.00464 -0.08695 0.17248 0.2444 -0.05467 -0.01594 0.28951 0.66391 -0.23087 0.29608 0.38331 0.02713 0.04799 0.2831 0.30533 -0.5486 -0.11262 -0.0079 -0.06373 0.21873 0.2514 -0.00738 -0.0187 0.48784 -0.61092 -0.27879 0.53086 -0.31671 0.45458 -0.52779 -0.12267 -0.0416 -0.29512 -0.35865 -0.07738 -0.07649 -0.08259 0.19738 0.23965 -0.05088 -0.02077 0.24004 0.15142 0.09238 -0.0672 0.01308 0.20518 0.17828 -0.21152 0.20754 -0.03318
40 0.7366 0.01372 0.09582 -0.0221 0.00229 0.1739 0.07461 0.03694 -0.03139 0.02267 0.68672 -0.64429 -0.71174 0.72538 0.52247 0.45049 0.74053 0.29854 0.64567 0.08952 -0.03283 0.01324 0.16917 0.06502 0.0119 -0.07979 0.04074 -0.03052 0.08386 -0.14891 0.02777 0.03419 0.03606 0.04033 -0.03425 -0.20528 -0.05841 -0.04238 -0.07223 -0.05574 0.17223 0.07358 0.02545 -0.07524 0.02597 0.23814 0.19559 -0.12682 0.13913 0.0931 0.19224 0.05931 -0.09343 0.07032 -0.00384
